Country,City,AccentCity,Population,Latitude,Longitude
ae,abu dhabi,Abu Dhabi,603687.0,24.466667,54.36666700000001
ae,dubai,Dubai,1137376.0,25.258172,55.304717
ae,sharjah,Sharjah,543942.0,25.35731,55.40330400000001
af,kabul,Kabul,3043589.0,34.516667,69.18333299999999
af,qandahar,Qandahar,391230.0,31.613323,65.710126
al,tirana,Tirana,374801.0,41.3275,19.8188889
am,yerevan,Yerevan,1093499.0,40.1811111,44.51361110000001
ao,luanda,Luanda,2776125.0,-8.836803999999997,13.233173999999998
ar,corrientes,Corrientes,390481.0,-27.480596,-58.834099
ar,la plata,La Plata,684318.0,-34.921454,-57.954533
ar,mar del plata,Mar del Plata,645771.0,-38.002278,-57.557539
ar,mendoza,Mendoza,973047.0,-32.890845,-68.82717099999999
ar,neuquen,Neuquen,359037.0,-38.951606,-68.059102
ar,posadas,Posadas,313438.0,-27.367077,-55.896078
ar,resistencia,Resistencia,406967.0,-27.46056,-58.983886
ar,rosario,Rosario,1218497.0,-32.946818,-60.63931700000001
ar,salta,Salta,548288.0,-24.785896,-65.411664
ar,santa fe,Santa Fe,456044.0,-31.629484,-60.701036
ar,santiago del estero,Santiago del Estero,407636.0,-27.795112,-64.261489
ar,tucuman,Tucuman,828402.0,-26.824144,-65.2226
at,vienna,Vienna,1569315.0,48.2,16.366667
au,adelaide,Adelaide,1074168.0,-34.928661,138.598633
au,brisbane,Brisbane,1843459.0,-27.47101,153.024292
au,canberra,Canberra,324025.0,-35.27603,149.13435
au,gold coast,Gold Coast,501175.0,-28.000290000000003,153.430878
au,melbourne,Melbourne,3730212.0,-37.813938,144.963425
au,perth,Perth,1446715.0,-31.952240000000003,115.861397
au,sydney,Sydney,4394585.0,-33.861481,151.205475
az,baku,Baku,1116513.0,40.39527800000001,49.882222
ba,sarajevo,Sarajevo,696726.0,43.85,18.3833333
bd,dhaka,Dhaka,6493177.0,23.7230556,90.4086111
bd,khulna,Khulna,1342429.0,22.8,89.55
bd,rajshahi,Rajshahi,700206.0,24.3666667,88.6
bd,tungi,Tungi,337620.0,23.89,90.4058333
be,antwerp,Antwerp,459805.0,51.216667,4.416667
be,brussels,Brussels,1019022.0,50.833333,4.3333330000000005
bf,bobo dioulasso,Bobo Dioulasso,370809.0,11.2,-4.3
bf,ouagadougou,Ouagadougou,1031330.0,12.3702778,-1.5247222
bg,plovdiv,Plovdiv,332088.0,42.15,24.75
bg,sofia,Sofia,1062065.0,42.6833333,23.3166667
bg,varna,Varna,307952.0,43.21666670000001,27.9166667
bi,bujumbura,Bujumbura,330539.0,-3.3761111000000006,29.36
bj,abomey-calavi,Abomey-Calavi,385823.0,6.45,2.35
bj,cotonou,Cotonou,690584.0,6.35,2.4333333
bo,cochabamba,Cochabamba,900440.0,-17.3833333,-66.15
bo,la paz,La Paz,812819.0,-16.5,-68.15
br,ananindeua,Ananindeua,433956.0,-1.366667,-48.383333
br,anapolis,Anápolis,319592.0,-16.333333,-48.966667
br,aracaju,Aracaju,490184.0,-10.916667,-37.066667
br,bauru,Bauru,335031.0,-22.316667,-49.066667
br,belem,Belém,1407737.0,-1.45,-48.483333
br,belford roxo,Belford Roxo,466101.0,-22.761995,-43.404654
br,belo horizonte,Belo Horizonte,2373255.0,-19.916667,-43.93333300000001
br,betim,Betim,384038.0,-19.966667,-44.216667
br,brasilia,Brasília,2207812.0,-15.783333,-47.916667
br,campina grande,Campina Grande,348943.0,-7.216667,-35.883333
br,campinas,Campinas,1031573.0,-22.9,-47.083333
br,campo grande,Campo Grande,729164.0,-20.45,-54.61666700000001
br,campos,Campos,387422.0,-21.75,-41.3
br,canoas,Canoas,328297.0,-29.933333,-51.18333300000001
br,carapicuiba,Carapicuíba,361120.0,-23.516667,-46.833333
br,cariacica,Cariacica,330681.0,-20.266667,-40.416667
br,caxias do sul,Caxias do Sul,381277.0,-29.1689,-51.1785
br,contagem,Contagem,627132.0,-19.916667,-44.1
br,cuiaba,Cuiabá,521961.0,-15.583332999999998,-56.083333
br,curitiba,Curitiba,1718433.0,-25.416667,-49.25
br,diadema,Diadema,390641.0,-23.7,-46.616667
br,duque de caxias,Duque de Caxias,818339.0,-22.790321,-43.325009
br,feira de santana,Feira de Santana,481926.0,-12.25,-38.95
br,florianopolis,Florianópolis,412731.0,-27.583333000000003,-48.566667
br,fortaleza,Fortaleza,2416920.0,-3.316667,-41.416667
br,franca,Franca,305047.0,-20.533333,-47.4
br,goiania,Goiânia,1171209.0,-16.666667,-49.266667
br,guaruja,Guarujá,310430.0,-24.0,-46.266667
br,guarulhos,Guarulhos,1169601.0,-23.45068,-46.526175
br,itaquaquecetuba,Itaquaquecetuba,336686.0,-23.483333,-46.35
br,jaboatao,Jaboatão,702632.0,-8.116667,-35.016667
br,joao pessoa,João Pessoa,650896.0,-7.116667,-34.866667
br,joinville,Joinville,461312.0,-26.3,-48.833333
br,juiz de fora,Juiz de Fora,470201.0,-21.751667,-43.352778
br,jundiai,Jundiaí,321595.0,-23.183333,-46.866667
br,londrina,Londrina,471836.0,-23.3,-51.15
br,macapa,Macapá,338937.0,0.033333,-51.05
br,maceio,Maceió,955010.0,-9.666667,-35.716667
br,manaus,Manaus,1598227.0,-3.1133330000000004,-60.025278
br,maringa,Maringá,311727.0,-23.416667,-51.916667
br,maua,Mauá,386077.0,-23.666667,-46.45
br,moji das cruzes,Moji das Cruzes,325753.0,-23.516667,-46.18333300000001
br,montes claros,Montes Claros,332384.0,-16.716667,-43.866667
br,natal,Natal,763057.0,-5.783333,-35.216667
br,niteroi,Niterói,456461.0,-22.90214,-43.130301
br,nova iguacu,Nova Iguaçu,1002129.0,-22.759188,-43.431887
br,olinda,Olinda,366761.0,-8.016667,-34.85
br,osasco,Osasco,677869.0,-23.566667,-46.783333
br,pelotas,Pelotas,320680.0,-31.766667,-52.333333
br,piracicaba,Piracicaba,342216.0,-22.716667,-47.633333
br,porto alegre,Porto Alegre,1372763.0,-30.033333,-51.2
br,porto velho,Pôrto Velho,306206.0,-8.766667,-63.9
br,recife,Recife,1478118.0,-8.05,-34.9
br,ribeirao das neves,Ribeirão das Neves,406840.0,-19.783333,-44.1
br,ribeirao preto,Ribeirão Prêto,551278.0,-21.166667,-47.8
br,rio de janeiro,Rio de Janeiro,6023742.0,-22.9,-43.233333
br,salvador,Salvador,2711903.0,-12.983333,-38.516667
br,santo andre,Santo André,662387.0,-23.666667,-46.516667
br,santos,Santos,411411.0,-23.95,-46.333333
br,sao bernardo do campo,São Bernardo do Campo,743386.0,-23.7,-46.55
br,sao goncalo,São Gonçalo,939101.0,-22.800278,-43.025556
br,sao joao de meriti,São João de Meriti,454855.0,-22.798614,-43.360894
br,sao jose do rio preto,São José do Rio Prêto,374706.0,-20.8,-49.383333
br,sao jose dos campos,São José dos Campos,613776.0,-23.183333,-45.883333
br,sao luis,São Luís,917252.0,-2.516667,-44.266667
br,sao paulo,São Paulo,10021437.0,-23.473293,-46.665803
br,sao vicente,São Vicente,324464.0,-23.966667,-46.383333
br,serra,Serra,394160.0,-20.116667,-40.3
br,sorocaba,Sorocaba,558874.0,-23.483333,-47.45
br,teresina,Teresina,744526.0,-5.0833330000000005,-42.816667
br,uberlandia,Uberlândia,563545.0,-18.916667,-48.3
br,vila velha,Vila Velha,394937.0,-20.333333,-40.283333
br,vitoria,Vitória,312662.0,-20.316667,-40.35
by,brest,Brest,300716.0,52.1,23.7
by,gomel,Gomel,481000.0,52.4416667,30.9833333
by,hrodna,Hrodna,317366.0,53.6813889,23.8147222
by,minsk,Minsk,1742123.0,53.9,27.566666700000006
ca,calgary,Calgary,968475.0,51.083333,-114.083333
ca,edmonton,Edmonton,822319.0,53.55,-113.5
ca,hamilton,Hamilton,653637.0,43.25,-79.833333
ca,kitchener,Kitchener,409111.0,43.45,-80.5
ca,montreal,Montreal,3268513.0,45.5,-73.583333
ca,ottawa,Ottawa,874433.0,45.416667,-75.7
ca,quebec,Quebec,645623.0,46.8,-71.25
ca,toronto,Toronto,4612187.0,43.666667,-79.416667
ca,vancouver,Vancouver,1837970.0,49.25,-123.133333
ca,winnipeg,Winnipeg,632069.0,49.883333,-97.166667
cd,boma,Boma,344522.0,-5.85,13.05
cd,kananga,Kananga,463556.0,-5.8958330000000005,22.417778
